Filebench Version 1.5-alpha3
0.000: Allocated 177MB of shared memory
0.019: Web proxy-server Version 3.0 personality successfully loaded
0.019: Populating and pre-allocating filesets
0.074: bigfileset populated: 100000 files, avg. dir. width = 1000000, avg. dir. depth = 0.8, 0 leafdirs, 3125.000MB total size
0.074: Removing bigfileset tree (if exists)
0.077: Pre-allocating directories in bigfileset tree
0.077: Pre-allocating files in bigfileset tree
3.239: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
3.239: Population and pre-allocation of filesets completed
3.239: Starting 1 proxycache instances
4.249: Running...
64.256: Run took 60 seconds...
64.266: Per-Operation Breakdown
limit                0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
closefile6           727960ops    12132ops/s   0.0mb/s    0.001ms/op [0.000ms - 2.222ms]
readfile6            727960ops    12132ops/s  84.1mb/s    0.004ms/op [0.001ms - 7.647ms]
openfile6            727960ops    12132ops/s   0.0mb/s    0.004ms/op [0.001ms - 12.081ms]
closefile5           727960ops    12132ops/s   0.0mb/s    0.001ms/op [0.000ms - 11.382ms]
readfile5            727960ops    12132ops/s  84.2mb/s    0.004ms/op [0.001ms - 2.997ms]
openfile5            727960ops    12132ops/s   0.0mb/s    0.004ms/op [0.001ms - 8.551ms]
closefile4           727960ops    12132ops/s   0.0mb/s    0.001ms/op [0.000ms - 0.195ms]
readfile4            727960ops    12132ops/s  84.0mb/s    0.004ms/op [0.001ms - 2.424ms]
openfile4            727960ops    12132ops/s   0.0mb/s    0.004ms/op [0.001ms - 25.712ms]
closefile3           727960ops    12132ops/s   0.0mb/s    0.001ms/op [0.000ms - 4.405ms]
readfile3            727960ops    12132ops/s  83.8mb/s    0.004ms/op [0.001ms - 11.999ms]
openfile3            727960ops    12132ops/s   0.0mb/s    0.004ms/op [0.001ms - 5.693ms]
closefile2           727960ops    12132ops/s   0.0mb/s    0.001ms/op [0.000ms - 1.859ms]
readfile2            727960ops    12132ops/s  83.8mb/s    0.005ms/op [0.001ms - 6.654ms]
openfile2            727960ops    12132ops/s   0.0mb/s    0.005ms/op [0.002ms - 14.842ms]
closefile1           727960ops    12132ops/s   0.0mb/s    0.001ms/op [0.000ms - 0.325ms]
appendfilerand1      727960ops    12132ops/s  47.4mb/s    0.010ms/op [0.001ms - 44.390ms]
createfile1          727960ops    12132ops/s   0.0mb/s    1.937ms/op [0.015ms - 628.283ms]
deletefile1          727983ops    12132ops/s   0.0mb/s    2.089ms/op [0.012ms - 632.605ms]
64.266: IO Summary: 13831263 ops 230501.527 ops/s 60658/12132 rd/wr 467.3mb/s 0.215ms/op
64.266: Shutting down processes
