0.080: Pre-allocating files in bigfileset tree
2.871: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
2.871: Population and pre-allocation of filesets completed
2.872: Starting 1 proxycache instances
3.881: Running...
63.886: Run took 60 seconds...
63.894: Per-Operation Breakdown
limit                0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
closefile6           1727527ops    28790ops/s   0.0mb/s    0.001ms/op [0.001ms - 0.741ms]
readfile6            1727527ops    28790ops/s 148.7mb/s    0.005ms/op [0.001ms - 17.236ms]
openfile6            1727530ops    28790ops/s   0.0mb/s    0.060ms/op [0.002ms - 9.197ms]
closefile5           1727533ops    28790ops/s   0.0mb/s    0.001ms/op [0.001ms - 0.539ms]
readfile5            1727533ops    28790ops/s 148.9mb/s    0.005ms/op [0.001ms - 10.793ms]
openfile5            1727535ops    28790ops/s   0.0mb/s    0.060ms/op [0.002ms - 20.173ms]
closefile4           1727539ops    28790ops/s   0.0mb/s    0.001ms/op [0.001ms - 0.414ms]
readfile4            1727539ops    28790ops/s 148.7mb/s    0.005ms/op [0.001ms - 22.577ms]
openfile4            1727539ops    28790ops/s   0.0mb/s    0.060ms/op [0.002ms - 13.819ms]
closefile3           1727547ops    28790ops/s   0.0mb/s    0.001ms/op [0.001ms - 0.599ms]
readfile3            1727548ops    28790ops/s 149.0mb/s    0.005ms/op [0.001ms - 12.062ms]
openfile3            1727552ops    28791ops/s   0.0mb/s    0.060ms/op [0.002ms - 13.106ms]
closefile2           1727554ops    28791ops/s   0.0mb/s    0.001ms/op [0.001ms - 0.402ms]
readfile2            1727554ops    28791ops/s 149.0mb/s    0.006ms/op [0.001ms - 5.550ms]
openfile2            1727561ops    28791ops/s   0.0mb/s    0.060ms/op [0.002ms - 9.730ms]
closefile1           1727566ops    28791ops/s   0.0mb/s    0.002ms/op [0.001ms - 0.438ms]
appendfilerand1      1727566ops    28791ops/s 112.5mb/s    0.023ms/op [0.001ms - 9.681ms]
createfile1          1727571ops    28791ops/s   0.0mb/s    0.131ms/op [0.011ms - 85.787ms]
deletefile1          1727475ops    28789ops/s   0.0mb/s    0.102ms/op [0.016ms - 143.254ms]
63.895: IO Summary: 32823296 ops 547016.569 ops/s 143952/28791 rd/wr 856.8mb/s 0.031ms/op
63.895: Shutting down processes
